ID,Accession,Year,Plot,Block,Replicate,Repeat,SLA,W_leaf,A_sat,gs_sat,C_i_sat,iWUE_sat,alpha_l,KS_l,R2_l,alpha_h,KS_h,R2_h,alpha_t,KS_t,R2_t
2022_1186_3,SSA_099,2022,1186,2,1,3,209.1503268,8.3,24.21963076,0.116523503,46.46703592,207.8518933,2.214750365675474,0.07710148479396517,0.8390811738901058,4.3427443824763525,0.11583835053670122,0.7862952744025431,2.9776914633917917,0.1913544143198671,0.7450722770427958
2022_2277_1,SSA_099,2022,2277,5,2,1,172.972973,9.9,5.824894289,0.035598932,124.5845151,163.6255339,2.2459260905436165,0.07639657340617079,0.7855923277388379,3.5321196812927336,0.049668449314539065,0.768214518355539,2.921043516661002,0.1767473424891186,0.773004922252942
2022_2277_2,SSA_099,2022,2277,5,2,2,181.8181818,8.7,,,,,2.237324208679313,0.0772971359646063,0.8305569506053129,4.52179138955974,0.11894432698845736,0.8369118125889667,3.0381374290206833,0.1950632817610478,0.7781591881460138
2022_2277_3,SSA_099,2022,2277,5,2,3,175.8241758,9.1,23.29601542,0.115943219,55.80394727,200.9260708,2.225352465984804,0.06818202837922926,0.8405150511473235,4.525126739512153,0.1194210806178522,0.8778963796529344,2.891889928787458,0.16741378676505747,0.8133025784153468
2022_1187_1,SSA_114,2022,1187,3,1,1,198.757764,10.0,,,,,2.206825252175125,0.06263401945899094,0.8535446441082685,4.204041129069557,0.1140001967530849,0.7847789371341378,3.1259217981742937,0.20082089248283297,0.755707217106534
2022_1187_2,SSA_114,2022,1187,3,1,2,226.9503546,8.0,,,,,2.2035177499286873,0.07001800981563688,0.8397350689134339,4.293742620111975,0.11516440696513477,0.8169893985585219,3.0482042880593836,0.19609170274965648,0.7818441467866736
2022_1187_3,SSA_114,2022,1187,3,1,3,220.6896552,9.6,15.42495954,0.079068143,70.70615091,195.0843793,2.1972944013481395,0.0705662793062376,0.8371226812158594,4.273645631264887,0.11450512406588495,0.8181892974166545,3.0078604157957947,0.19262138027987863,0.8030446873605591
2022_2268_1,SSA_114,2022,2268,4,2,1,219.1780822,8.6,27.36895622,0.116529609,0.641990829,234.8669706,2.193419856253738,0.0647906879355088,0.8478978822740803,4.202365753822843,0.11284445627127981,0.8502463327269019,2.8888489728272413,0.1719583226205167,0.7604714705537381
2022_2268_2,SSA_114,2022,2268,4,2,2,190.4761905,8.9,29.48464275,0.137729628,32.1079818,214.0762541,2.1926390409218577,0.0641095200447015,0.8417390089729816,4.219132206648038,0.11511280847066072,0.7833476336773229,3.0024562109272943,0.18552015010596723,0.7067053579796716
2022_2268_3,SSA_114,2022,2268,4,2,3,213.3333333,9.4,26.45699198,0.141195639,75.6529266,187.3782511,2.1664662389330562,0.05738442635616381,0.8450519052643932,4.036912789625283,0.11144015832089343,0.8500473271168594,3.0892539858650645,0.19553664441886276,0.7978118920089105
2022_1188_1,SSA_178,2022,1188,4,1,1,230.2158273,7.4,35.06890449,0.152556358,3.760458409,229.875076,2.169109734278196,0.06636614316084566,0.8345786052022242,4.068759667690625,0.11325040655528926,0.8075264260816759,3.0327456145075167,0.19456325064925517,0.783737316263247
2022_1188_2,SSA_178,2022,1188,4,1,2,217.6870748,7.5,33.73898308,0.162796036,40.07974005,207.2469568,2.186945123310145,0.07365379427372343,0.8265766624295336,4.230854096627562,0.11479873459911796,0.8425578367717639,3.075425290392757,0.20229845503337684,0.8151144015025068
2022_1188_3,SSA_178,2022,1188,4,1,3,203.8216561,7.6,16.780762,0.089208862,81.75625336,188.1064469,2.208240261663097,0.07019464857627733,0.8383188460285655,4.298932609870024,0.11395431770088571,0.7974733516751711,3.1874626093488803,0.21276184792695374,0.780018650994265
2022_2287_1,SSA_178,2022,2287,7,2,1,220.6896552,7.3,31.66095465,0.177652786,88.24799295,178.2181714,2.232728694752811,0.08257446793459633,0.8397634563580899,4.421079141990795,0.11504988183263759,0.8420150698195357,2.9056286772055206,0.18400369108964298,0.7515329562092661
2022_2287_2,SSA_178,2022,2287,7,2,2,251.9685039,7.4,33.56260091,0.20591024,110.3403846,162.9962693,2.1712085923922855,0.09002430731018163,0.802048570122262,4.163669989844052,0.11157079005181397,0.8114435741293418,2.9681383798632144,0.20565788239449867,0.7730951076208152
2022_2287_3,SSA_178,2022,2287,7,2,3,192.7710843,8.2,37.00682084,0.224892903,106.2847117,164.5530843,2.220762502383194,0.07358484673436871,0.8353465217667013,4.384381120932792,0.11753171132748991,0.7834488910926048,3.322165186723482,0.22648558660916274,0.7774982753255608
2022_1189_1,SSA_293,2022,1189,5,1,1,209.1503268,7.0,28.42730574,0.158536346,86.84108525,179.3109688,2.1663905765418647,0.07348330147247106,0.8218098564217278,4.0455210787732705,0.11114633221715275,0.7681571003729901,3.498959584704873,0.2506674196205977,0.8045218535301948
2022_1189_2,SSA_293,2022,1189,5,1,2,233.5766423,8.1,,,,,2.1574787579801535,0.07495553540066846,0.8197880721845459,3.9783591188897747,0.10764311219930192,0.7849824296680596,3.1449986286373814,0.21763224523257807,0.7737992892664042
2022_1189_3,SSA_293,2022,1189,5,1,3,278.2608696,8.5,20.90988007,0.103315956,55.36554178,202.3877138,2.097253877318136,0.07062895042379536,0.7964916475431015,3.6075768661378187,0.10416831942188254,0.7969751708622332,3.2319986009802903,0.23030240046769068,0.7948983800834465
2022_2201_1,SSA_293,2022,2201,1,2,1,171.1229947,8.0,33.8345494,0.153829431,20.90418547,219.9484787,2.190671356738248,0.07180022231604977,0.84483697957101,4.207476980152718,0.11415447170302997,0.8767580220005212,2.6250284102498975,0.13831470594328654,0.8422237013729484
2022_2201_2,SSA_293,2022,2201,1,2,2,190.4761905,6.0,,,,,2.1084634876151767,0.06867086890331564,0.8088234516808748,3.815345709668045,0.10510926185898645,0.870534377189158,2.7877377760353177,0.17233071749341244,0.8475548905640171
2022_2201_3,SSA_293,2022,2201,1,2,3,173.9130435,7.6,36.60390294,0.164327049,14.19596801,222.7503216,2.1301423744311663,0.0613782441043812,0.8281584354339597,3.934526496694546,0.10864789496377492,0.8616729062533532,2.6576364572365785,0.1446787084502491,0.8421917822614906
2022_1190_1,SSA_300,2022,1190,6,1,1,191.6167665,8.3,,,,,2.231645173890577,0.08659175483581893,0.8226152776135343,4.567833379655772,0.1176010134036643,0.8887587004979456,2.9045870563972063,0.18841047995009097,0.8385672497623397
2022_1190_2,SSA_300,2022,1190,6,1,2,184.9710983,7.0,12.77222632,0.06799945,85.86771409,187.8283778,2.180902293017442,0.07890253014797377,0.7922295569869819,4.271098887994172,0.11304205500643533,0.8051732984241831,2.707487907603379,0.1578155842461526,0.8080915808020016
2022_1190_3,SSA_300,2022,1190,6,1,3,178.7709497,8.9,19.69938384,0.099165974,63.19177349,198.6506362,2.2277775244934066,0.09224951214358668,0.818304006659599,4.506372619090757,0.11666161919816387,0.8634232856088953,2.861787637126323,0.187948652709387,0.8257224442364458
2022_2172_1,SSA_300,2022,2172,4,2,1,192.7710843,8.3,33.20659571,0.149429412,16.29716747,222.2226211,2.227452287049627,0.08070367685996738,0.8321990922069269,4.439951431487725,0.1178098796953338,0.8753987858568488,2.8926479187459107,0.18132745766674319,0.8254717081308056
2022_2172_2,SSA_300,2022,2172,4,2,2,197.5308642,10.1,26.28831231,0.136647832,67.17251863,192.3800177,2.2097213954121018,0.09014376839166616,0.8184373465176367,4.386375406053744,0.1163065260707136,0.8595358997898811,2.9079223058527117,0.194625449607561,0.834265228743516
2022_2172_3,SSA_300,2022,2172,4,2,3,184.9710983,9.2,23.92203751,0.119152739,55.48970942,200.7678354,2.2375663736782574,0.08602203635773609,0.8305167567569918,4.544795528211532,0.11790266213122874,0.8468612591130682,3.066732643728266,0.20881923188313223,0.8141882425948072
2022_1191_1,SSA_045,2022,1191,7,1,1,205.1282051,8.8,39.99789067,0.227881648,86.30925002,175.5204558,2.1636208481051087,0.09631704025041221,0.795782379592358,4.134991179779722,0.11174742592674716,0.8318688817980603,3.0278708395127025,0.22277223746189,0.8110529516224617
2022_1191_2,SSA_045,2022,1191,7,1,2,190.4761905,8.7,37.91641212,0.202365645,69.54489288,187.3658548,2.1480318856927663,0.08604824314203674,0.7971425418338691,3.995848196227456,0.10946432838396852,0.7933304883507898,2.927202006326556,0.19930184176179355,0.7254694018302272
2022_1191_3,SSA_045,2022,1191,7,1,3,187.1345029,8.6,32.32104578,0.161025863,51.75316,200.7195933,2.156491211869021,0.0866968819829097,0.798720504411701,4.075441649423332,0.1109024604138179,0.8606984329739253,2.906841238832289,0.19491122824432727,0.8392466469645941
2022_2219_1,SSA_045,2022,2219,3,2,1,195.1219512,9.1,39.67113147,0.193404366,41.18807715,205.1201448,2.143917066007581,0.08896604061900149,0.7962028780556358,3.9711698144875056,0.10953363756490492,0.773916822341508,3.173339795021718,0.23467222139589605,0.7521019876235662
2022_2219_2,SSA_045,2022,2219,3,2,2,213.3333333,7.7,,,,,2.162122147484337,0.09287882504159717,0.808814442728442,4.06748571640277,0.11078121358752008,0.7994212855713303,3.0963775685866874,0.22752698217603962,0.759824579927416
2022_2219_3,SSA_045,2022,2219,3,2,3,216.2162162,7.6,41.81944924,0.213321417,53.82376413,196.0396184,2.1921758425041884,0.09397570741073202,0.8196466220066144,4.241185142666437,0.11392342835236052,0.794907680867068,2.778553504877284,0.17935676629975594,0.7489396405213743
2022_1192_1,SSA_088,2022,1192,8,1,1,202.5316456,10.2,,,,,2.2273655566676234,0.08616150813216983,0.8320978789038873,4.4089360870936645,0.11398394525362796,0.8313654951824039,3.0261855177349157,0.20691169829510303,0.7533477884049934
2022_1192_2,SSA_088,2022,1192,8,1,2,195.1219512,8.6,,,,,2.199627403316549,0.08970807632062883,0.8326851722736481,4.1856831820863185,0.1119604112091816,0.8467651200389379,2.780980825760706,0.17737604945612562,0.7775790654132404
2022_1192_3,SSA_088,2022,1192,8,1,3,193.9393939,9.8,23.64523641,0.185858808,176.2663118,127.2215006,2.2277950535233235,0.08756877647909334,0.8219801817818322,3.973683662796482,0.06422685404204942,0.8700037343175322,2.6894187057670296,0.15511656610894586,0.7856364327644931
2022_2252_1,SSA_088,2022,2252,4,2,1,205.1282051,7.6,38.82281376,0.247579448,116.4291688,156.8095172,2.161024783647245,0.07927091400874864,0.8142825514909203,4.0145221595080525,0.11043917933145109,0.7588674136608891,3.375100592974821,0.24644038409737956,0.7892648745958402
2022_2252_2,SSA_088,2022,2252,4,2,2,217.6870748,9.0,21.55444323,0.127448613,108.4106017,169.1226187,2.1898414299123106,0.07563665771862849,0.8323046029603542,4.211471310136264,0.11437164768107161,0.801652108261428,3.1932881471719377,0.22103533601938696,0.7678837515565051
2022_2252_3,SSA_088,2022,2252,4,2,3,209.1503268,8.1,39.52221335,0.220852476,81.07865133,178.9530013,2.2199619309348795,0.08068214739402157,0.8360846632600432,4.343914458532212,0.11615828495431177,0.7908331272743147,3.3609478226963656,0.24091244687414903,0.7690280317638664
2022_1193_1,SSA_273,2022,1193,1,1,1,211.9205298,10.3,33.86745281,0.186065042,81.0679108,182.0194294,2.16578311408211,0.08137244387614329,0.825490804157244,4.052140798971723,0.11216546554485712,0.8715725205162125,2.693684342650454,0.1619602163704481,0.8257724625662002
2022_1193_2,SSA_273,2022,1193,1,1,2,238.8059701,10.1,34.30921571,0.16492212,39.37203955,208.0328327,2.166452009697842,0.08696477326920726,0.8216091236931216,4.0599716157918975,0.11162540997830572,0.794864453845087,2.771246108870934,0.17666653289722845,0.7611127696961952
2022_1193_3,SSA_273,2022,1193,1,1,3,206.4516129,9.4,,,,,2.1123360066371606,0.07568064208730085,0.7969061323348803,3.7628221861048647,0.10270223065087086,0.8019740250343127,2.969514066103388,0.20247024200162256,0.77649974899335
2022_2286_1,SSA_273,2022,2286,6,2,1,237.037037,10.0,37.1040869,0.194740735,64.03229057,190.5306912,2.193605081990321,0.07285831055102099,0.8290674799043538,4.2425431259789885,0.11302776403103665,0.7998110139816264,2.805892248371321,0.16326456986055204,0.7872954898326066
2022_2286_2,SSA_273,2022,2286,6,2,2,237.037037,8.4,32.4540347,0.165785864,58.46490134,195.7587577,2.167233446023077,0.0738997599056046,0.825124762220521,4.074619688304663,0.11158990343840128,0.7816211301566396,3.0786475511515934,0.20873319898095433,0.7843858366343213
2022_2286_3,SSA_273,2022,2286,6,2,3,203.8216561,10.0,30.17232629,0.170463535,89.74324006,177.0016463,2.190285828981907,0.06627890115850321,0.8296495684801922,4.257548627103616,0.11348022127621477,0.8126546252877145,2.7450295374747085,0.1479366203275042,0.7922167842155385
2022_1194_1,SSA_066,2022,1194,2,1,1,186.0465116,10.6,13.25515861,0.207432563,281.0097373,63.90105019,2.166326208729282,0.07445896310583267,0.8008525182728812,4.217207317871941,0.11224597322356017,0.8123320337927455,3.0082072300848304,0.19540065637555604,0.7962613496354971
2022_1194_2,SSA_066,2022,1194,2,1,2,195.1219512,11.9,19.26743251,0.097930217,65.44072709,196.7465524,2.196504701627285,0.07498223529527204,0.8360062101065832,4.256866963557029,0.11421182660383855,0.7889864573380627,2.9191608364149655,0.1847928412272607,0.733817906513357
2022_1194_3,SSA_066,2022,1194,2,1,3,225.3521127,9.4,27.53377294,0.120453956,10.47775032,228.5833842,2.1613495341401547,0.08606034179461342,0.781982067350812,4.166457219000412,0.11003612274070562,0.8275259147668121,3.146666739839862,0.22546308225475853,0.8197190459022501
2022_2169_1,SSA_066,2022,2169,1,2,1,202.5316456,6.9,20.26828107,0.176320954,195.6325715,114.9510627,2.16048123666767,0.08189890510983011,0.8074003858529155,4.081306477967444,0.11091304084454867,0.8346677789209022,3.123592399005813,0.2211630581699242,0.7954659856540598
2022_2169_2,SSA_066,2022,2169,1,2,2,190.4761905,6.8,12.17667222,0.068357598,100.0044907,178.1319506,2.094757289922875,0.05808810197802705,0.7810535742966017,3.69627313256202,0.10054664195185503,0.8309744187608158,3.1348245017136445,0.2042512893032209,0.8396784665114071
2022_2169_3,SSA_066,2022,2169,1,2,3,193.9393939,7.2,28.60082709,0.159894357,88.13587792,178.8732735,2.1722287798125293,0.07887260308731092,0.8077118899506188,4.16963199490493,0.1135768931621596,0.8423494479883971,3.121596628386408,0.21559886929450645,0.8187696962179755
2022_1195_1,SSA_095,2022,1195,3,1,1,217.6870748,8.5,,,,,2.2058580502824574,0.058929249672691086,0.8327508643456049,3.9902889250418405,0.06653174117408733,0.7972334873678829,2.968014927214755,0.17408955976062523,0.7637578072722806
2022_1195_2,SSA_095,2022,1195,3,1,2,238.8059701,8.1,,,,,2.191838155307742,0.06575187827978024,0.8392621783062155,4.168550188605976,0.11070798040677013,0.8624154391556299,2.682317895621486,0.1396054274651224,0.8611520012233815
2022_1195_3,SSA_095,2022,1195,3,1,3,240.6015038,8.2,25.60950301,0.115085122,20.89071205,222.5266181,2.159936471714702,0.07102043567732119,0.8307728866914927,4.008894073696078,0.11033604105797193,0.7794778664065979,2.876311812289391,0.17729406059738417,0.7272529390785383
2022_2025_1,SSA_095,2022,2025,1,2,1,228.5714286,8.1,,,,,2.164089596440797,0.08094542162218987,0.8197507039475209,4.089633751787476,0.11154680781789048,0.8060163572362491,2.879038623190142,0.18580855862021906,0.7868057797234319
2022_2025_2,SSA_095,2022,2025,1,2,2,197.5308642,8.4,26.23690769,0.121696127,32.41875381,215.5936135,2.216237696184414,0.07981475012286632,0.8396809910041697,4.363393832825925,0.11577042077862126,0.7673699446751318,2.7785318194771937,0.16170349141281304,0.7110129260927927
2022_2025_3,SSA_095,2022,2025,1,2,3,211.9205298,7.8,25.11528038,0.108850654,8.223689737,230.7315527,2.1639020288707007,0.07413317393083552,0.8276556682366512,4.101205561318683,0.11218156432499404,0.7676235538528515,2.859467658007053,0.17581023375301885,0.7440102692974737
2022_1197_1,SSA_024,2022,1197,5,1,1,183.908046,8.6,14.39802501,0.068465634,47.35445039,210.2956503,2.1864726001379555,0.07842280793136935,0.833460050519047,4.28304379180978,0.11632215187503639,0.8622184869900419,2.608721067637946,0.14356226109845183,0.8208688006747766
2022_1197_2,SSA_024,2022,1197,5,1,2,209.1503268,8.0,22.29670237,0.107121625,46.12270824,208.1438019,2.141278360682491,0.07920315225679408,0.8174761328736706,3.975541942950488,0.10939053246409103,0.805712311064726,2.690623957038327,0.16447130934608767,0.7585854342429246
2022_1197_3,SSA_024,2022,1197,5,1,3,191.6167665,8.5,26.52912996,0.158408307,107.4859681,167.4730986,2.1963453050078394,0.0842141422273831,0.8269609395496097,4.271293332934137,0.11506221350078163,0.802126942584106,2.771175432075714,0.1677716523845173,0.7263791705906952
2022_2207_1,SSA_024,2022,2207,7,2,1,213.3333333,7.2,30.23134126,0.153557717,59.62644929,196.8728226,2.121176682799539,0.07963758779627261,0.7914681099261229,3.866458608788436,0.10511952888460813,0.7616234393054215,2.807995602781695,0.1827844804354246,0.7249047641962185
2022_2207_2,SSA_024,2022,2207,7,2,2,200.0,8.0,17.68240542,0.085379046,50.7142961,207.1047432,2.1500444164277197,0.07935177477226596,0.813645692416001,4.034511123898763,0.11150302299993353,0.8187160777264261,2.9052095504905293,0.18732284183833992,0.7328921659738492
2022_2207_3,SSA_024,2022,2207,7,2,3,216.2162162,7.8,,,,,2.1598446992407645,0.08589869524047877,0.8153779545820643,4.038328443939771,0.11133097085487947,0.8290036872477178,2.799756266067903,0.18003661120348025,0.7602604203106571
2022_1198_1,SSA_386,2022,1198,6,1,1,197.5308642,10.2,26.46926839,0.162351109,115.9276348,163.0371884,2.1021295578578387,0.05923725144564618,0.8027149068845059,3.6775593803496154,0.10370056257332383,0.7911733888181928,3.0982277613936824,0.20424352557725478,0.79446076549417
2022_1198_2,SSA_386,2022,1198,6,1,2,175.8241758,10.5,33.09918372,0.205490563,115.5175101,161.0739843,2.1553374675418153,0.06374010426821541,0.8268132565887942,3.90696427753083,0.10771315481070926,0.7549371634405577,3.4065046981069873,0.23688452923773995,0.7915257380062692
2022_1198_3,SSA_386,2022,1198,6,1,3,225.3521127,10.5,31.89874092,0.179570326,89.36861867,177.639266,2.1590467693965643,0.07385841841783658,0.8150995079693977,3.9040840701994295,0.1054178926828046,0.7812919606363505,3.2343833136444013,0.22772961465441588,0.8057947932331305
2022_2122_1,SSA_386,2022,2122,2,2,1,198.757764,10.9,30.47136777,0.14818372,45.36382951,205.6323577,2.1634493138787874,0.07646749057286095,0.8036425870551025,4.08571618408364,0.10856516902205496,0.8171883249258247,2.8733242595374278,0.1831863232790184,0.7835433749262035
2022_2122_2,SSA_386,2022,2122,2,2,2,213.3333333,10.6,28.09300776,0.154460252,85.00938175,181.8785565,2.1492316755034007,0.07929184773256492,0.8008759144821284,3.8141126494945192,0.10098680800851559,0.7765821379234654,3.0985833403617664,0.21963250838414838,0.8059893513793802
2022_2122_3,SSA_386,2022,2122,2,2,3,205.1282051,10.5,25.37613622,0.145451235,97.91850232,174.4649068,2.1610521764194828,0.07451113358949168,0.8178490873225771,3.994970985331458,0.11014586164048812,0.7222772906670608,3.4784609085661518,0.2535019263889158,0.7712225975677788
2022_1199_1,SSA_043,2022,1199,7,1,1,256.0,10.8,32.88581653,0.195445578,103.164178,168.260735,2.1958146751822785,0.08949731779515391,0.8231461383223396,4.180991888359357,0.1120313592161149,0.8097053392558994,3.1306061669932226,0.22965640074980498,0.8027922658672213
2022_1199_2,SSA_043,2022,1199,7,1,2,177.7777778,11.7,20.09625103,0.117126857,105.3077888,171.5767971,2.194130351385605,0.06737662881377149,0.8343977362874664,4.243014718180608,0.11573729447644984,0.8489214376750533,3.0368770313752935,0.18998411872178544,0.8190544415591869
2022_1199_3,SSA_043,2022,1199,7,1,3,246.1538462,11.1,28.3706232,0.156298865,85.02914195,181.5152217,2.175625321165556,0.08989450697588475,0.8112915789683485,4.07280759998778,0.11000154341529178,0.8033168584615575,2.9812837273785466,0.20966201063061218,0.8018389430271714
