ID,Accession,Year,Plot,Block,Replicate,Repeat,A_sat,gs_sat,C_i_sat,iWUE_sat,SLA,C_i,Nit,V_pmax,V_max,S.Lim.,A_400,gs_w,iWUE,alpha_l,KS_l,R2_l,alpha_h,KS_h,R2_h,alpha_t,KS_t,R2_t
2021_2253_1,SSA_102,2021,2253,5,2,1,,,,,115.3271028,43.286269,2.6296226,,,,,,,2.127215196630239,0.07244672074306102,0.8056416686266766,3.905752491707696,0.10825040644254189,0.7956428512273577,3.232486615800837,0.2292891083501465,0.7813933670634629
2021_2253_2,SSA_102,2021,2253,5,2,2,,,,,104.5762712,45.6696298,3.1900256,,,,,,,2.195658125710943,0.07042311394490575,0.823758934393395,4.271060251658033,0.11704949293122008,0.815432157928773,3.321358511619751,0.22606091061262468,0.7873841725742563
2021_2253_3,SSA_102,2021,2253,5,2,3,,,,,140.2272727,44.5600385,2.7165052,,,,,,,2.098225627725457,0.07085397056758669,0.7905520852774128,3.695117547080027,0.10081985482563344,0.7916475147514157,3.0509374200090504,0.20713960591462932,0.7758919944634193
2021_2045_1,SSA_250,2021,2045,5,2,1,,,,,137.877095,,,,,,,,,2.140720025850415,0.08340154715692316,0.7842137006660836,3.9819472728870013,0.1097045202013151,0.7818678250392805,3.6265452621051297,0.27380377720395355,0.8154260079061094
2021_2045_2,SSA_250,2021,2045,5,2,2,,,,,131.9786096,,,,,,,,,2.1961157350326603,0.0769386619092931,0.8259996195626498,4.305312645303989,0.11770977455483794,0.9074180734174231,2.972159519461067,0.19129508632234726,0.833754174148206
2021_2045_3,SSA_250,2021,2045,5,2,3,,,,,105.0212766,,,,,,,,,2.1129299680778058,0.0557187065800655,0.7919903740880689,3.9009411208170452,0.10705657740296151,0.864332413064701,2.9883433273357594,0.18179007855974494,0.8154721702981638
2021_1140_1,SSA_112,2021,1140,4,1,1,22.45884488,0.096042864,5.274218984,233.8418914,114.2592593,,,,,,,,,2.12014970697333,0.07126939923631626,0.7919648813404803,3.7575444698239697,0.10333751842495248,0.8341061229691008,3.5391957389080155,0.2577718920253306,0.8535036221278124
2021_1140_2,SSA_112,2021,1140,4,1,2,16.32293277,0.080290413,56.05723502,203.2986516,115.8685446,,,,,,,,,2.2129913663219245,0.08524957320966275,0.8237522327003397,4.36495370509181,0.11665616357823244,0.8054922174957648,3.455160089109668,0.2540216565885711,0.812417953237742
2021_1140_3,SSA_112,2021,1140,4,1,3,23.68845419,0.124310909,72.49809445,190.5581291,105.4700855,,,,,,,,,2.148341169780099,0.0759638262252178,0.7924914986230038,3.981532311251513,0.10986610999901614,0.8270756229775516,3.137400425411022,0.21655051860413943,0.8128262379049441
2021_2152_1,SSA_112,2021,2152,8,2,1,27.87042436,0.128952901,30.4671978,216.1287122,123.4,,,,,,,,,2.178191673030302,0.08529089619789165,0.8138300017879891,4.127842174230606,0.11246791769622108,0.8260740086462836,3.3046055713199474,0.2440365838619446,0.8153627247377377
2021_2152_2,SSA_112,2021,2152,8,2,2,20.1121634,0.131350926,137.2510827,153.1177895,120.3902439,,,,,,,,,2.1750264090294626,0.08585042046870428,0.8141899115423055,4.196417535531582,0.114725528627804,0.8656262149195664,2.993428802869737,0.2061331301534477,0.78569615507728
2021_2152_3,SSA_112,2021,2152,8,2,3,17.97909282,0.093599031,74.93693395,192.0863144,103.697479,,,,,,,,,2.220170158624559,0.07554594922985103,0.8313713364579639,4.468160412002212,0.11904069020279923,0.8436428899586302,3.047068410767263,0.19710806925568436,0.7873496979528742
2021_1141_1,SSA_056,2021,1141,5,1,1,32.89937181,0.181725739,82.66865964,181.0385912,133.4054054,,,,,,,,,2.210770536083573,0.07870243889251316,0.8328526201577842,4.3188908024835815,0.11514344013160244,0.8734053371677218,2.9484075818283233,0.19019498874762097,0.8474468300678635
2021_1141_2,SSA_056,2021,1141,5,1,2,11.90449437,0.097599739,190.6222923,121.9726045,118.0861244,,,,,,,,,2.200332889868817,0.07994915338050168,0.8314134287748977,4.363718847282219,0.116570243092636,0.8660102056606827,2.8960385638073625,0.1820433761490079,0.8123919166665783
2021_1141_3,SSA_056,2021,1141,5,1,3,9.951263481,0.053165113,86.7435251,187.1765703,119.2270531,,,,,,,,,2.227190507106526,0.0794037793612723,0.8336305503295922,4.494491139893323,0.11807008363368715,0.8618154222681268,2.900502622378991,0.17924169949900248,0.8258302773323126
2021_2164_1,SSA_056,2021,2164,4,2,1,11.37058019,0.055712689,57.68685347,204.0931867,114.2592593,,,,,,,,,2.193466861344813,0.07394451449851946,0.829184373262656,4.2477974084420485,0.11602973630298599,0.7974459883574789,3.5634794148283966,0.2552894871347966,0.8157726599801159
2021_2164_2,SSA_056,2021,2164,4,2,2,,,,,100.7346939,,,,,,,,,2.2059281007558056,0.06924167546377957,0.8325697443756835,4.406021394432588,0.1202913416639827,0.7942135646727702,3.38541305863694,0.23114979060099905,0.7745748849113188
2021_2164_3,SSA_056,2021,2164,4,2,3,10.53071815,0.066858598,133.8570587,157.5073134,117.5238095,,,,,,,,,2.1792735236252736,0.0745172571156969,0.8185086233943635,4.202685363834687,0.11552358446116626,0.7736781006485863,3.3584788806443386,0.23666660080644608,0.7717624543199123
2021_1142_1,SSA_228,2021,1142,6,1,1,10.50999281,0.048868617,42.47671147,215.0663034,129.8947368,,,,,,,,,2.1542133748839998,0.08693192722954879,0.799868583519673,4.100026988078365,0.11181513532058673,0.8031811240365526,3.201384943419181,0.2337055166341686,0.7632336127176668
2021_1142_2,SSA_228,2021,1142,6,1,2,33.19322966,0.167240668,54.78449015,198.4758257,138.6516854,,,,,,,,,2.1298720839267635,0.07867144559033168,0.7994688145900188,3.868276254574752,0.10651990588670301,0.7660179651386843,3.255273601723362,0.23711633825498202,0.7732925223639648
2021_1142_3,SSA_228,2021,1142,6,1,3,33.27261541,0.154009567,27.22028289,216.0425232,119.8058252,,,,,,,,,2.172261523019113,0.0774035302693723,0.8130230973372532,4.236956549426624,0.11550001783651964,0.8786888448763965,2.963889032900529,0.19368763030686298,0.8170657415295776
2021_2308_1,SSA_228,2021,2308,4,2,1,18.65822365,0.081116689,14.03816914,230.0170755,115.3271028,,,,,,,,,2.1681074044725808,0.08488071018104759,0.8005927671125703,4.2032191771479095,0.11511166986576574,0.77545956560087,3.548284224695403,0.262741918007693,0.8034743998353349
2021_2308_2,SSA_228,2021,2308,4,2,2,8.295088875,0.068273834,190.8065518,121.4973348,115.3271028,,,,,,,,,2.1956529902786848,0.0808367104677854,0.8215862619830219,4.332163884026764,0.11722842617480705,0.8615561802878877,2.964783984940114,0.19326523212634716,0.8039775456971461
2021_2308_3,SSA_228,2021,2308,4,2,3,,,,,146.035503,,,,,,,,,2.136946049229728,0.07879588055830056,0.7983025431379412,3.966819489338966,0.10891405556806016,0.8644730163942937,2.893387909928247,0.1876554068043772,0.8430329305834281
2021_1143_1,SSA_007,2021,1143,7,1,1,23.65257856,0.11454056,48.97091081,206.499589,132.688172,42.51,2.34,48.547039,30.00774903,0.081269066,26.30974007,0.228042972,115.3718522,2.1495503531669544,0.07484595926406201,0.8270395423398421,3.936641449401822,0.10981198853706894,0.8621254729950634,2.75344207015959,0.1659540139352048,0.8395263842909473
2021_1143_2,SSA_007,2021,1143,7,1,2,14.72850134,0.077491766,78.6565224,190.0653726,121.5763547,44.91,2.52,88.72941202,32.13397598,0.174468005,25.01876639,0.137788533,181.5736466,2.1298741863435007,0.06956006061498465,0.8100722674042815,3.9226096264989794,0.10929523641021838,0.808988172679415,3.0626713874452305,0.20284960220168258,0.7590043315649435
2021_1143_3,SSA_007,2021,1143,7,1,3,28.31862892,0.124031054,12.17637664,228.3188608,135.6043956,39.85,1.7,75.94410086,30.18801617,0.125003661,25.89019969,0.155099007,166.926921,2.0671985186067485,0.06293841607840922,0.7878527451298336,3.594200416957746,0.10678544795899081,0.8579947894363504,2.9705297228203285,0.19380125459705166,0.8452446155374318
2021_2172_1,SSA_007,2021,2172,4,2,1,11.82560789,0.04952907,5.178857547,238.7609502,110.1785714,46.95,3.13,57.64016487,33.44778073,0.207924116,25.03098712,0.166404976,150.4221071,2.1322889686338673,0.06605259930019769,0.8041036714329831,3.872181333823072,0.10782968152224576,0.7903107668599983,3.5596849521984626,0.2516381192675172,0.8314300242044166
2021_2172_2,SSA_007,2021,2172,4,2,2,12.12890408,0.076620219,132.2162466,158.2990014,131.2765957,43.11,2.79,44.94279097,31.3141449,0.259131635,20.70059673,0.146157805,141.6318255,2.1428608204844783,0.078457422755562,0.8196094648072181,3.9166490751525984,0.11039183002355676,0.8849735567533927,2.8902903726072076,0.18673534871045416,0.8371309616177456
2021_2172_3,SSA_007,2021,2172,4,2,3,15.92212613,0.080740685,68.28305017,197.2007803,138.6516854,42.53,2.71,74.82080211,31.64193961,0.181265855,24.2051494,0.137961829,175.4481625,2.063632935177962,0.0717911047919626,0.7723939086081515,3.55391210520644,0.10722450907194903,0.7447638689807872,3.376823461725281,0.2504887422037968,0.7763543635365346
2021_1144_1,SSA_317,2021,1144,8,1,1,23.77341595,0.120769129,63.86624202,196.8501072,125.2791878,,,,,,,,,2.154216090255737,0.07428995840341124,0.8238513529461456,4.02132151850415,0.11142173702599453,0.8586338677406532,2.8619705946801774,0.17800445719739533,0.8205529455045039
2021_1144_2,SSA_317,2021,1144,8,1,2,9.914814919,0.045283031,37.55418157,218.9521035,113.7327189,,,,,,,,,2.125487811739514,0.07760631669051687,0.7999891328022629,3.8613946827258254,0.10823096618554462,0.7988358856396776,3.1483915233022692,0.22154386139023363,0.7780021191929392
2021_1144_3,SSA_317,2021,1144,8,1,3,17.40664635,0.142577364,186.4320689,122.0856229,105.4700855,,,,,,,,,2.160021764104183,0.07836044280747334,0.8039428250675373,4.136140974077755,0.11477712517766489,0.8325933191679752,3.023802569062196,0.20119678983733857,0.776062201196821
2021_2013_1,SSA_317,2021,2013,5,2,1,19.28781601,0.113329001,108.7382694,170.1931176,120.9803922,,,,,,,,,2.099292492047075,0.08400453738005464,0.7746217097954934,3.7253400485030896,0.10624230680826974,0.7926176744918619,3.883350539525351,0.29746965420837945,0.8390657456050539
2021_2013_2,SSA_317,2021,2013,5,2,2,21.2986334,0.100169006,40.43746227,212.6269813,129.2146597,,,,,,,,,2.0955111506175577,0.08104031476684603,0.7527629272678231,3.6339176205678205,0.10133661376050851,0.7898522869771761,3.341088074355927,0.24912583667011212,0.8037523133951463
2021_2013_3,SSA_317,2021,2013,5,2,3,14.74775171,0.127322403,199.6310007,115.8299824,110.1785714,,,,,,,,,2.1015622876846365,0.0703196103500392,0.7860953540691501,3.767146090026315,0.1042258291047794,0.7697942092982353,3.1625279475777734,0.2189229457508841,0.7654111796945788
2021_1145_1,SSA_233,2021,1145,1,1,1,8.037750986,0.066430939,190.9462356,120.9940889,125.2791878,,,,,,,,,2.076160291110121,0.061750269787527956,0.7534404099712555,3.650892021341937,0.09971461934787373,0.7239706511018666,3.5881887737176013,0.2548163786331489,0.7764658864520704
2021_1145_2,SSA_233,2021,1145,1,1,2,23.5124152,0.137920045,107.2973367,170.4785926,127.2164948,,,,,,,,,2.0814588295841188,0.06546460638647733,0.7787822326478335,3.637463216640459,0.10118934821608216,0.762544632584724,3.6964207210453077,0.26987399597414374,0.8094961478333601
2021_1145_3,SSA_233,2021,1145,1,1,3,21.3701683,0.141018661,136.6059065,151.541421,118.6538462,,,,,,,,,2.0616461479197534,0.06552840155637063,0.7495269851642397,3.8036251563376497,0.122375915948503,0.811299183808104,3.9370893093950614,0.28836041427002757,0.8574174659028678
2021_2085_1,SSA_233,2021,2085,5,2,1,21.16895349,0.114196143,83.02726299,185.3736292,124.6464646,,,,,,,,,2.1543341583648066,0.08426138754521406,0.7982441386289539,4.067532033087546,0.11149528726957417,0.8169688593876615,3.130473257335654,0.22403695329097884,0.8169699761426243
