"ID","N","CHL","CAR","ANT","EWT","LMA","CBC","PROT","BROWN","alpha"
"2022_2222_1",1.43277578559949,61.4960765514405,10.3228816160287,0,0.0108343400518687,0.0029115816294358,0,0,0,40
"2022_2222_2",1.53109252565301,59.5642001279211,9.76633158262551,0,0.0117505157745601,0.00343930633310018,0,0,0,40
"2022_2222_3",1.45869590731861,75.2828044784571,10.285434442646,7.39506172159235e-11,0.0123002960668451,0.00334523938799785,0,0,0,40
"2022_1004_1",1.33327462657287,46.9819365255394,9.8296653470609,0,0.0108624066302635,0.0023874249271033,0,0,0,40
"2022_1004_2",1.389281763,40.6708562499244,8.38523764194108,0.259776576418576,0.0106914743129376,0.0022784427357299,0,0,0,40
"2022_1004_3",1.25399337604654,57.5116527128436,12.0048681368355,0,0.0116392215096859,0.0022018700829019,0,0,0,40
"2022_2108_1",1.33642312728106,46.05143198374,10.1670627384748,0,0.0123003059622297,0.00271284831161917,0,0,0,40
"2022_2108_2",1.3983119841214,48.4915263167198,10.3222460645006,-2.77555756156289e-17,0.0116839549792242,0.00300289029227543,0,0,0,40
"2022_2108_3",1.38574312963931,45.7970239103905,10.0455671474616,0,0.0103942055422761,0.00281272390706689,0,0,0,40
"2022_1005_1",1.33302870440698,17.9444223063756,3.86422313383176,1.71096088232927,0.00941102027353268,0.00331430472950615,0,0,0,40
"2022_1005_2",1.46544663686482,51.044313622305,10.0099474976428,0,0.0128949220324101,0.00325225036997383,0,0,0,40
"2022_1005_3",1.32346705572487,32.4519550373458,6.92475643050358,0.72181134103174,0.0104696175228339,0.00256234000477162,0,0,0,40
"2022_2256_1",1.34627526876005,29.3910244178758,5.73588739697288,1.03602332733372,0.00976358085548796,0.00221918217651032,0,0,0,40
"2022_2256_2",1.41974511091199,23.5466531250172,4.39911322190675,1.49198753347708,0.0106428991234578,0.00271333937383718,0,0,0,40
"2022_2256_3",1.37141688768384,32.7000850720569,6.79193314393043,0.816505048962969,0.0110072636737007,0.00267153729921038,0,0,0,40
"2022_1006_1",1.37394411795971,38.1417337090055,8.37944046385862,0.495273375794624,0.00954131387744164,0.0029466358364367,0,0,0,40
"2022_1006_2",1.44555208351367,53.5694613554334,9.74458982393575,0,0.0113109545900894,0.00316477140669468,0,0,0,40
"2022_1006_3",1.46445804273581,62.0305219293337,9.60370244042199,1.35525271560688e-20,0.011998460291586,0.0029719362709055,0,0,0,40
"2022_2164_1",1.43361173394349,64.9748327934797,10.423131882523,-2.77555756156289e-17,0.0110970974091342,0.00338178835475807,0,0,0,40
"2022_2164_2",1.35009377826023,46.5357881923495,9.59762460409564,0,0.00949173407753271,0.00246155195161206,0,0,0,40
"2022_2164_3",1.41882156464163,56.2973682621385,10.1026299657549,0,0.011536341073436,0.00308284956135266,0,0,0,40
"2022_1007_1",1.33919331303565,40.8880173277154,8.74477267902863,0.0349868809129403,0.0150529678825389,0.00246499097120828,0,0,0,40
"2022_1007_2",1.45843321282686,37.2604340042314,6.6405731665004,0.940999378586003,0.0141278101373747,0.00288704441521656,0,0,0,40
"2022_1007_3",1.35683396712506,53.1553381716446,9.6291648136298,1.11029078726094e-16,0.0140354350088301,0.00201350242551305,0,0,0,40
"2022_2234_1",1.40026704376579,26.1670288307412,4.63004886701331,1.39611244004318,0.0140143046298342,0.00309876518628,0,0,0,40
"2022_2234_2",1.35492077822534,34.1622151318665,6.02306804041486,0.877163809350169,0.0115605555999504,0.00244929211270022,0,0,0,40
"2022_2234_3",1.27049350603044,28.724023135919,5.96171827447376,0.835131332185019,0.0133118145715952,0.0028439418989368,0,0,0,40
"2022_1008_1",1.40434519048994,59.6961823292053,10.4838056441319,-6.7762635780344e-21,0.0117087184614566,0.00287007694871152,0,0,0,40
"2022_1008_2",1.45046445968601,57.3291616045459,9.89776095213195,5.55111512312578e-17,0.0139568702884106,0.0029318954322294,0,0,0,40
"2022_1008_3",1.59838290595039,42.9492865139559,7.56114985696297,0.938498902738921,0.0110752344631419,0.00293930456239221,0,0,0,40
"2022_2232_1",1.43284118074042,58.2043537212298,10.5230718418667,0,0.0129600081588449,0.00334938998657634,0,0,0,40
"2022_2232_2",1.37541585540262,41.441746209021,8.71528542012681,0.232654919873278,0.0100468963598631,0.00279381204652836,0,0,0,40
"2022_2232_3",1.46617953778461,36.8736818560154,7.30655067171695,0.813316536608824,0.0108449775683953,0.00291692776827978,0,0,0,40
"2022_1009_1",1.37056274468131,36.9797283213613,6.73589662818123,0.864566699072939,0.00938807623028624,0.0016197174432479,0,0,0,40
"2022_1009_2",1.32739468215592,37.8793086686727,8.06393094489682,0.398207638689228,0.0103203597742003,0.00174247519221054,0,0,0,40
"2022_1009_3",1.33628904604648,45.8346206125972,8.79731616049135,0.267268179324743,0.00906956741471035,0.00163692474870238,0,0,0,40
"2022_2170_1",1.4192837086963,59.5106200126019,10.9854653961708,0,0.0127153532033525,0.00270406735169643,0,0,0,40
"2022_2170_2",1.55064713932395,52.2726567930307,9.93402702642658,3.3881317890172e-21,0.0135085742664045,0.00349354970626956,0,0,0,40
